id,restaurant_name,list_date,edit_date,restaurant_photo_main,restaurant_area,restaurant_district,restaurant_street,restaurant_address,fullday,openhour_fullday,closehour_fullday,afternoon,openhour_afternoon,closehour_afternoon,night,openhour_night,closehour_night,nightsnack,openhour_nightsnack,closehour_nightsnack,category_chinese,category_western,category_seafood,category_veg,category_japan,menu,menu_photo1,menu_photo2,menu_photo3,menu_photo4,menu_photo5,menu_photo6,two_dish_price,three_dish_price,drink_price,soup_price,payment_cash,payment_octopus,payment_alipayhk,payment_wechatpay,payment_payeme,dine_in,takeaway,takeaway_self,takeaway_keeta,takeaway_foodpanda,is_published,discount_coupon
11,廸自由快餐,2025-06-16 15:40:42.610435+00:00,2025/6/16,photos/R11_0.png,Hong Kong,Southern,Abba Road,9,TRUE,12:00:00,20:00:00,TRUE,12:00:00,20:00:00,TRUE,,,FALSE,,,TRUE,TRUE,TRUE,TRUE,FALSE,"麻辣鍋
老疊香",photos/R11_1.png,photos/R11_2.png,photos/R11_3.png,photos/R11_4.png,photos/R11_5.png,photos/R11_6.png,48,57,11,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
12,銀杏冰室,2025-06-16 15:40:42.610435+00:00,2025/6/16,photos/R12_0.png,Hong Kong,Wan Chai,harbour road,No1,TRUE,12:00:00,20:00:00,TRUE,12:00:00,20:00:00,TRUE,,,FALSE,,,TRUE,TRUE,TRUE,TRUE,FALSE,"帶子雞扒
野菌忌廉湯
薯蓉",photos/R12_1.png,photos/R12_2.png,photos/R12_3.png,photos/R12_4.png,photos/R12_5.png,photos/R12_6.png,47,50,12,10,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
13,FRESH新鮮生活,2025-06-16 15:40:42.610435+00:00,2025/6/16,photos/R13_0.png,Hong Kong,Eastern,North Point Road,12,TRUE,12:00:00,22:00:00,TRUE,12:00:00,22:00:00,TRUE,,,TRUE,,,TRUE,TRUE,TRUE,TRUE,FALSE,"牛肝菌濃湯
鱈魚粟粟你好嗎

恭祝你福壽笑開個眉",NaN,NaN,NaN,NaN,NaN,NaN,50,58,15,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
14,自由快餐,2025-06-16 15:40:42.610435+00:00,2025/6/16,photos/R15_0.png,Kowloon,Sham Shui Po,Dai Nam Street,74,TRUE,12:00:00,20:00:00,TRUE,12:00:00,20:00:00,TRUE,,,FALSE,,,TRUE,TRUE,TRUE,TRUE,FALSE,"西蘭花
雜菜雞皇飯",photos/R15_1.png,photos/R15_2.png,photos/R15_3.png,photos/R15_4.png,NaN,NaN,40,42,8,8,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
15,安發小食店,2025-06-16 15:40:42.610435+00:00,2025/6/16,photos/R16_0.png,Kowloon,Wong Tai Sin,Wong Tai Sin Road,42,TRUE,12:00:00,20:00:00,TRUE,12:00:00,20:00:00,TRUE,,,FALSE,,,TRUE,TRUE,TRUE,TRUE,FALSE,"麻辣鍋
老疊香",photos/R16_1.png,photos/R16_2.png,photos/R16_3.png,photos/R16_4.png,photos/R16_5.png,photos/R16_6.png,50,58,15,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
16,超人燒鵝,2025-06-16 15:40:42.610435+00:00,2025/6/16,photos/R17_0.png,Kowloon,Yau Tsim Mong,Tin Man Toi Road,12,TRUE,12:00:00,20:00:00,TRUE,12:00:00,20:00:00,TRUE,,,FALSE,,,TRUE,TRUE,TRUE,TRUE,FALSE,"帶子雞扒
野菌忌廉湯
薯蓉",photos/R17_1.png,photos/R17_2.png,photos/R17_3.png,photos/R17_4.png,photos/R17_5.png,photos/R17_6.png,40,42,8,8,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
17,海港酒家,2025-06-16 15:40:42.610435+00:00,2025/6/16,photos/R18_0.png,Kowloon,Sham Shui Po,Golden Road,43,TRUE,12:00:00,20:00:00,TRUE,12:00:00,20:00:00,TRUE,,,FALSE,,,TRUE,TRUE,TRUE,TRUE,FALSE,"麻辣鍋
老疊香",photos/R18_1.png,photos/R18_2.png,photos/R18_3.png,photos/R18_4.png,photos/R18_5.png,photos/R18_6.png,47,50,12,10,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
18,三多美食,2025-06-16 15:40:42.610435+00:00,2025/6/16,photos/R19_0.png,Kowloon,Kwun Tong,Kwun Tong Road,12,TRUE,12:00:00,22:00:00,TRUE,12:00:00,22:00:00,TRUE,,,TRUE,,,TRUE,TRUE,TRUE,TRUE,FALSE,"帶子雞扒
野菌忌廉湯
薯蓉",photos/R19_1.png,photos/R19_2.png,photos/R19_3.png,photos/R19_4.png,photos/R19_5.png,photos/R19_6.png,48,57,11,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
19,東東兩餸飯,2025-06-16 15:40:42.610435+00:00,2025/6/16,photos/R20_0.png,Islands,Islands,Cheung Chau,86,TRUE,12:00:00,22:00:00,TRUE,12:00:00,22:00:00,TRUE,,,TRUE,,,TRUE,TRUE,TRUE,TRUE,FALSE,"西蘭花
雜菜雞皇飯",photos/R20_1.png,photos/R20_2.png,photos/R20_3.png,photos/R20_4.png,photos/R20_5.png,photos/R20_6.png,48,57,11,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
20,張和隆飯店,2025-06-16 15:40:42.610435+00:00,2025/6/16,photos/R21_1.jpg,Islands,Islands,Mei Wo,123,TRUE,12:00:00,20:00:00,TRUE,12:00:00,20:00:00,TRUE,,,FALSE,,,TRUE,TRUE,TRUE,TRUE,FALSE,"牛肝菌濃湯
鱈魚粟粟你好嗎

恭祝你福壽笑開個眉",photos/R21_2.jpg,photos/R21_3.jpg,photos/R21_4.jpg,photos/R21_5.jpg,photos/R21_6.jpg,photos/R21_7.jpg,47,50,12,10,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
